PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,XREF-4,E
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201109,72.00,4.50,72.00,71.10,3983.76,3983.76,145.80,10911.34,10911.34,385.29,10128.17,,0048AA,L
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201110,72.00,0.00,72.00,0.00,3983.76,3983.76,0.00,10911.34,10911.34,0.00,0.00,,0048AA,L
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201111,72.00,0.00,72.00,99.00,3983.76,3983.76,0.00,10911.34,10911.34,0.00,13930.58,,0048AA,L
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201112,72.00,0.00,72.00,99.00,3983.76,3983.76,0.00,10911.34,10911.34,0.00,13930.58,,0048AA,L
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201201,72.00,0.00,72.00,84.00,4128.48,4128.48,0.00,11632.80,11632.80,0.00,13571.60,,0048AA,L
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201208,72.00,0.00,0.00,72.00,4128.48,0.00,0.00,11632.80,0.00,0.00,11353.88,,0048AA,L
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201209,72.00,0.00,0.00,72.00,4128.48,0.00,0.00,11632.80,0.00,0.00,11353.88,,0048AA,L
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201210,72.00,0.00,0.00,72.00,4128.48,0.00,0.00,11632.80,0.00,0.00,11353.88,,0048AA,L
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201211,72.00,0.00,0.00,72.00,4128.48,0.00,0.00,11632.80,0.00,0.00,11353.88,,0048AA,L
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201212,72.00,0.00,0.00,72.00,4128.48,0.00,0.00,11632.80,0.00,0.00,11353.88,,0048AA,L
LRIPOC,C7CF4810-819H0030,Chase and Ferry Support,Lot 7,W,HJX,LC7CF4810,HJX,819H,201301,72.00,0.00,0.00,72.00,4287.60,0.00,0.00,12371.43,0.00,0.00,12437.65,,0048AA,L
LRIPOC,C7MX4810-811H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HBX,LC7MX4810,HBX,811H,201112,11.00,0.00,11.00,11.00,608.63,608.63,0.00,1667.01,1667.01,0.00,1547.84,,0048AA,L
LRIPOC,C7MX4810-811H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HBX,LC7MX4810,HBX,811H,201201,13.40,0.00,13.40,24.40,768.36,768.36,0.00,2164.99,2164.99,0.00,3942.23,,0048AA,L
LRIPOC,C7MX4810-811H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HBX,LC7MX4810,HBX,811H,201202,0.00,0.00,0.00,24.40,0.00,0.00,0.00,0.00,0.00,0.00,3889.29,,0048AA,L
LRIPOC,C7MX4810-811H0030,Scheduled and Unscheduled Maintenance,Lot 7,W,HBX,LC7MX4810,HBX,811H,201212,0.00,0.00,0.00,24.40,0.00,0.00,0.00,0.00,0.00,0.00,3847.70,,0048AA,L
