PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CA Clin,E
LRIP10,10A41HBX,AV IPT - AF41 Weight & Balance Tests,Block 30,C,HBX,L10A41HBX,HBX,,201406,1.42,0.00,0.00,1.42,85.26,0.00,0.00,246.02,0.00,0.00,249.22,0003,0003,L
LRIP10,10A41HDX,AV IPT - AF41 Static Proof Test,Block 30,C,HDX,L10A41HDX,HDX,,201204,21.60,0.00,0.00,21.60,1221.91,0.00,0.00,3442.98,0.00,0.00,3406.16,0003,0003,L
LRIP10,10A41HDX,AV IPT - AF41 Static Proof Test,Block 30,C,HDX,L10A41HDX,HDX,,201206,21.60,0.00,0.00,21.60,1221.91,0.00,0.00,3442.98,0.00,0.00,3406.16,0003,0003,L
LRIP10,10A41HDX,AV IPT - AF41 Static Proof Test,Block 30,C,HDX,L10A41HDX,HDX,,201211,21.33,0.00,0.00,21.33,1206.64,0.00,0.00,3399.94,0.00,0.00,3363.59,0003,0003,L
LRIP10,10A41HDX,AV IPT - AF41 Static Proof Test,Block 30,C,HDX,L10A41HDX,HDX,,201212,2.00,0.00,0.00,2.00,113.14,0.00,0.00,318.79,0.00,0.00,315.39,0003,0003,L
LRIP10,10A41HDX,AV IPT - AF41 Static Proof Test,Block 30,C,HDX,L10A41HDX,HDX,,201301,2.93,0.00,0.00,2.93,170.00,0.00,0.00,490.51,0.00,0.00,483.60,0003,0003,L
LRIP10,10A41HDX,AV IPT - AF41 Static Proof Test,Block 30,C,HDX,L10A41HDX,HDX,,201302,1.73,0.00,0.00,1.73,100.37,0.00,0.00,289.62,0.00,0.00,285.54,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201211,6.00,0.00,0.00,6.00,195.66,0.00,0.00,728.60,0.00,0.00,715.80,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201212,11.25,0.00,0.00,11.25,366.86,0.00,0.00,1366.12,0.00,0.00,1342.12,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201301,22.13,0.00,0.00,22.13,740.03,0.00,0.00,2814.58,0.00,0.00,2746.60,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201302,37.50,0.00,0.00,37.50,1254.00,0.00,0.00,4769.40,0.00,0.00,4654.20,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201303,53.53,0.00,0.00,53.53,1790.04,0.00,0.00,6808.15,0.00,0.00,6643.71,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201304,93.13,0.00,0.00,93.13,3114.27,0.00,0.00,11844.63,0.00,0.00,11558.55,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201305,93.13,0.00,0.00,93.13,3114.27,0.00,0.00,11844.63,0.00,0.00,11558.55,0003,0003,L
