PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CACLIN,E
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201108,192.80,258.85,192.80,192.80,8652.86,8652.86,12358.06,33427.27,33427.27,43842.42,30538.53,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201109,290.00,174.60,290.00,269.34,13015.20,13015.20,8297.99,50279.61,50279.61,29438.60,42662.08,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201110,260.00,171.08,260.00,270.00,11668.80,11668.80,8011.85,45078.27,45078.27,28423.47,40263.96,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201111,240.00,191.08,240.00,286.65,10771.20,10771.20,9069.09,41610.72,41610.72,32174.21,42746.91,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201112,250.00,225.18,250.00,309.32,11220.00,11220.00,10601.37,43344.49,43344.49,37610.25,46127.59,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201201,270.00,130.70,270.00,390.57,13346.10,13346.10,6255.82,49698.11,49698.11,22886.19,71891.07,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201202,279.50,223.40,279.50,223.40,13815.69,13815.69,10530.02,51446.74,51446.74,38522.85,41624.87,0010,,L
LRIP9B,R9CB3J47,RBDC GH MFG Eng-Common BL,,W,HDX,LR9CB3J47,HDX,3J47,201203,0.00,35.70,0.00,427.06,0.00,0.00,1682.39,0.00,0.00,6112.76,75961.42,0010,,L
LRIP9B,R9CB813H,Airfram Sustaining Eng-Common BL,,W,HDX,LR9CB813H,HDX,813H,201103,545.00,661.60,545.00,545.00,29239.25,29239.25,38049.81,79719.90,79719.90,100550.24,79010.24,0010,,L
LRIP9B,R9CB813H,Airfram Sustaining Eng-Common BL,,W,HDX,LR9CB813H,HDX,813H,201104,681.50,609.50,681.50,681.50,36562.48,36562.48,33702.94,99686.45,99686.45,89063.22,98799.05,0010,,L
LRIP9B,R9CB813H,Airfram Sustaining Eng-Common BL,,W,HDX,LR9CB813H,HDX,813H,201105,517.90,596.90,517.90,596.90,27785.34,27785.34,32980.83,75755.85,75755.85,87154.98,86534.34,0010,,L
LRIP9B,R9CB813H,Airfram Sustaining Eng-Common BL,,W,HDX,LR9CB813H,HDX,813H,201106,517.90,408.60,517.90,408.60,27785.34,27785.34,22643.33,75755.85,75755.85,59837.15,58209.54,0010,,L
LRIP9B,R9CB813H,Airfram Sustaining Eng-Common BL,,W,HDX,LR9CB813H,HDX,813H,201107,654.20,158.90,654.20,654.20,35097.83,35097.83,9408.94,95693.14,95693.14,24864.02,93197.95,0010,,L
LRIP9B,R9CB813H,Airfram Sustaining Eng-Common BL,,W,HDX,LR9CB813H,HDX,813H,201108,425.20,164.20,425.20,425.20,22811.98,22811.98,9319.64,62196.15,62196.15,24628.03,60569.58,0010,,L
